date,close,Name
2018-01-11,120.93,JBHT
2018-01-12,121.06,JBHT
2018-01-16,120.64,JBHT
2018-01-17,120.65,JBHT
2018-01-18,121.45,JBHT
2018-01-19,123.61,JBHT
2018-01-22,125.39,JBHT
2018-01-23,125.59,JBHT
2018-01-24,125.65,JBHT
2018-01-25,123.99,JBHT
2018-01-26,125.03,JBHT
2018-01-29,121.76,JBHT
2018-01-30,120.72,JBHT
2018-01-31,120.83,JBHT
2018-02-01,120.79,JBHT
2018-02-02,118.17,JBHT
2018-02-05,NA,JBHT
2018-02-06,115.93,JBHT
2018-02-07,117.95,JBHT
2018-01-02,NA,JCI
2018-01-03,38.96,JCI
2018-01-04,39.85,JCI
2018-01-05,38.42,JCI
2018-01-08,38.94,JCI
2018-01-09,38.75,JCI
2018-01-10,NA,JCI
2018-01-11,NA,JCI
2018-01-12,39.8,JCI
2018-01-16,40.17,JCI
2018-01-17,39.53,JCI
2018-01-18,39.29,JCI
2018-01-19,38.9,JCI
2018-01-22,39.2,JCI
2018-01-23,40.47,JCI
2018-01-24,40.6,JCI
2018-01-25,40.79,JCI
2018-01-26,NA,JCI
2018-01-29,40.46,JCI
2018-01-30,39.84,JCI
2018-01-31,39.13,JCI
2018-02-01,39.81,JCI
2018-02-02,39.53,JCI
2018-02-05,37.52,JCI
2018-02-06,37.62,JCI
2018-02-07,37.6,JCI
2018-01-02,66.87,JEC
2018-01-03,NA,JEC
2018-01-04,NA,JEC
2018-01-05,68.14,JEC
2018-01-08,67.96,JEC
2018-01-09,67.71,JEC
2018-01-10,67.81,JEC
2018-01-11,69.5,JEC
2018-01-12,69.56,JEC
2018-01-16,69.42,JEC
2018-01-17,69.58,JEC
2018-01-18,69.39,JEC
2018-01-19,69.95,JEC
2018-01-22,70.23,JEC
2018-01-23,69.88,JEC
2018-01-24,70.24,JEC
2018-01-25,69.86,JEC
2018-01-26,69.95,JEC
2018-01-29,71.05,JEC
2018-01-30,69.7,JEC
2018-01-31,69.46,JEC
2018-02-01,70.02,JEC
2018-02-02,67.12,JEC
2018-02-05,63.15,JEC
2018-02-06,64.14,JEC
2018-02-07,66.01,JEC
2018-01-02,139.23,JNJ
2018-01-03,140.56,JNJ
2018-01-04,140.55,JNJ
2018-01-05,141.71,JNJ
2018-01-08,141.89,JNJ
2018-01-09,144.14,JNJ
2018-01-10,143.97,JNJ
2018-01-11,144.79,JNJ
2018-01-12,145.76,JNJ
2018-01-16,146.86,JNJ
2018-01-17,146.98,JNJ
2018-01-18,146.92,JNJ
2018-01-19,147.36,JNJ
2018-01-22,148.14,JNJ
2018-01-23,141.83,JNJ
2018-01-24,NA,JNJ
2018-01-25,NA,JNJ
2018-01-26,145.33,JNJ
2018-01-29,143.68,JNJ
2018-01-30,NA,JNJ
2018-01-31,138.19,JNJ
2018-02-01,140.02,JNJ
2018-02-02,137.68,JNJ
2018-02-05,NA,JNJ
2018-02-06,131.83,JNJ
2018-02-07,131.42,JNJ
2018-01-02,28.7,JNPR
2018-01-03,28.81,JNPR
2018-01-04,28.79,JNPR
2018-01-05,28.51,JNPR
2018-01-08,28.78,JNPR
2018-01-09,28.63,JNPR
2018-01-10,NA,JNPR
2018-01-11,NA,JNPR
2018-01-12,28.89,JNPR
2018-01-16,28.61,JNPR
2018-01-17,28.67,JNPR
2018-01-18,27.66,JNPR
2018-01-19,NA,JNPR
2018-01-22,28.36,JNPR
2018-01-23,28.13,JNPR
2018-01-24,NA,JNPR
2018-01-25,NA,JNPR
2018-01-26,28.19,JNPR
2018-01-29,28.48,JNPR
2018-01-30,28.32,JNPR
2018-01-31,26.15,JNPR
2018-02-01,NA,JNPR
2018-02-02,26.26,JNPR
2018-02-05,25.2,JNPR
2018-02-06,NA,JNPR
2018-02-07,25.39,JNPR
2018-01-02,107.95,JPM
2018-01-03,108.06,JPM
2018-01-04,109.04,JPM
2018-01-05,108.34,JPM
2018-01-08,108.5,JPM
2018-01-09,NA,JPM
2018-01-10,110.25,JPM
2018-01-11,110.84,JPM
2018-01-12,112.67,JPM
